id,shop_id,shop_name,is_mall,is_verified,follower_count,rating_star,rating_count,response_rate,location,total_products,total_sold,shop_url,crawled_at
702,286689866,NhuY_Spa,0,0,8422,4.854334,10930,98.0,Hà Nội,518,11347,https://shopee.vn/thietbispasieure,2026-03-19 11:40:21
2883,2583328,R-Mart - Chuyên đồ Nga,0,0,10230,4.619365,4653,79.0,Hà Nội,2544,5172,https://shopee.vn/r_mart_chuyen_do_nga,2026-03-19 13:28:42
2884,522599,Zakka Naturals,0,0,255725,4.940454,100777,100.0,Long An,52,102123,https://shopee.vn/zakka_naturals,2026-03-19 13:28:44
2885,6105847,Phấn Nụ Hoàng Cung,0,0,51473,4.912074,18636,99.0,Hà Nội,94,19047,https://shopee.vn/phannuhoangcung_49tayson.,2026-03-19 13:28:45
2886,5831388,Hàng Cắp Nách,0,0,477,4.938462,328,80.0,Hà Nội,256,333,https://shopee.vn/hangcapnach,2026-03-19 13:28:47
2887,407022,Bellastore7,0,0,108840,4.954355,154928,60.0,TP. Hồ Chí Minh,733,156512,https://shopee.vn/bella.store,2026-03-19 13:28:49
2888,8252086,ENPI ,0,0,775458,4.958445,930710,99.0,TP. Hồ Chí Minh,481,938333,https://shopee.vn/enpi.timeless,2026-03-19 13:28:51
2889,507430,hoashop,0,0,314830,4.930552,290325,69.0,TP. Hồ Chí Minh,1198,294981,https://shopee.vn/hoashop,2026-03-19 13:28:53
2890,6331172,90XU.COSMETIC,0,0,49902,4.887727,44580,95.0,Hà Nội,74,45775,https://shopee.vn/90xucosmetic,2026-03-19 13:28:55
2891,2971462,TTMall.vn,0,0,19094,4.948974,27984,75.0,TP. Hồ Chí Minh,85,28276,https://shopee.vn/ttmall.vn,2026-03-19 13:28:56
2892,4984332,Bindi - Yêu da từ thảo dược,0,0,343419,4.941722,250130,97.0,Hà Nội,133,253505,https://shopee.vn/bindivietnam_officialstore,2026-03-19 13:28:58
2893,8516029,TulipShop123,0,0,585194,4.909548,601335,98.0,TP. Hồ Chí Minh,1030,614100,https://shopee.vn/tinhle123,2026-03-19 13:28:59
2894,10014893,Christian Lenart Việt Nam ,0,0,107349,4.929425,18510,87.0,TP. Hồ Chí Minh,25,18819,https://shopee.vn/christianlenartvn,2026-03-19 13:29:01
2895,12018195,wendytruc,0,0,8790,4.881828,6607,46.0,TP. Hồ Chí Minh,1764,6806,https://shopee.vn/wendytruc,2026-03-19 13:29:03
2896,2436703,IRO IRO SHOP,0,0,68002,4.965368,32325,100.0,Khánh Hòa,101,32535,https://shopee.vn/iro.iro,2026-03-19 13:29:04
2897,14393606,Little_London,0,0,453555,4.959547,177486,100.0,Hà Nội,496,178871,https://shopee.vn/little_london,2026-03-19 13:29:06
2898,14646821,vutueminh,0,0,1511,4.889721,5545,100.0,Hà Nội,108,5693,https://shopee.vn/vutueminh,2026-03-19 13:29:08
2899,1924117,JUKA BEAUTY SHOP,0,0,171233,4.96238,214917,98.0,TP. Hồ Chí Minh,1031,216570,https://shopee.vn/jukabeauty123,2026-03-19 13:29:10
2900,14959449,Misa Store,0,0,922,4.945417,1989,50.0,TP. Hồ Chí Minh,3,2011,https://shopee.vn/misastore,2026-03-19 13:29:12
2901,13194059,Shop Nhật Chaly,0,0,13153,4.932004,7985,97.0,TP. Hồ Chí Minh,459,8116,https://shopee.vn/shopnhatchaly,2026-03-19 13:29:14
2902,17067670,Green Grapy Việt Nam,0,0,789,4.823009,333,50.0,TP. Hồ Chí Minh,71,347,https://shopee.vn/greengrapy_officialstore,2026-03-19 13:29:15
2903,17037958,Khả Ngân Authentic,0,0,206139,4.90484,251406,90.0,Hà Nội,498,257291,https://shopee.vn/khanganauthentic,2026-03-19 13:29:17
2904,17514353,Shop Mỹ Phẩm MISA,0,0,545,4.714286,750,0.0,TP. Hồ Chí Minh,547,810,https://shopee.vn/khanchoangcothoitrang,2026-03-19 13:29:18
2905,18644537,HASAKI VIETNAM,0,0,1590580,4.939279,2353626,99.0,TP. Hồ Chí Minh,4420,2383882,https://shopee.vn/hasakivietnam,2026-03-19 13:29:20
2906,6858321,Mỹ Phẩm Kiều Trâm,0,0,2190,4.815002,6048,75.0,TP. Hồ Chí Minh,896,6335,https://shopee.vn/quyen_trang.12345,2026-03-19 13:29:22
2907,15013645,Shop bột Pon Audrey,0,0,63052,4.94837,43375,99.0,TP. Hồ Chí Minh,160,43824,https://shopee.vn/ponaudrey,2026-03-19 13:29:24
2908,12964260,Bovie Cosmetics,0,0,813526,4.915536,623225,67.0,TP. Hồ Chí Minh,1561,635463,https://shopee.vn/thaivy1806,2026-03-19 13:29:25
2909,23039527,Russ Shop - Chuyên hàng Nga,0,0,37987,4.95196,67844,80.0,Hà Tĩnh,262,68512,https://shopee.vn/russ.shop,2026-03-19 13:29:27
2910,2842907,Lyza Cosmetics,0,0,19756,4.791601,25086,89.0,Hà Nội,91,26481,https://shopee.vn/lyzashop,2026-03-19 13:29:29
2911,24877332,Tinh Dầu Và Thảo Mộc GT,0,0,95404,4.859242,6283,74.0,Hà Nội,140,6494,https://shopee.vn/tinhdaugt,2026-03-19 13:29:31
2912,21909977,Mỹ phẩm Dazzling,0,0,558693,4.940879,363095,100.0,Hà Nội,105,367685,https://shopee.vn/myphamdazzling,2026-03-19 13:29:32
2913,17036909,Mỹ phẩm ĐẸP XINH,0,0,66703,4.932701,121972,79.0,TP. Hồ Chí Minh,1444,123815,https://shopee.vn/shopdepxinh123,2026-03-19 13:29:35
2914,5785851,lucy shop (mypham_chinhhang),0,0,91478,4.855031,57146,64.0,TP. Hồ Chí Minh,443,59251,https://shopee.vn/mplucy,2026-03-19 13:29:37
2915,9156879,Tuyết Linh Shop,0,0,17221,4.79744,4753,75.0,Bình Dương,877,5005,https://shopee.vn/tuyetlinhshop,2026-03-19 13:29:39
2916,18115046,ANH ANH  SHOP,0,0,29499,4.791706,31166,100.0,Hà Nội,80,32912,https://shopee.vn/anhanh.shop,2026-03-19 13:29:41
2917,8364693,HaGiang1305 ,0,0,621304,4.92109,451450,99.0,Hà Nội,676,459202,https://shopee.vn/hagiang1305,2026-03-19 13:29:43
2918,17288287,The Legal Alien,0,0,19460,4.969391,7103,100.0,TP. Hồ Chí Minh,419,7147,https://shopee.vn/thelegalalien,2026-03-19 13:29:45
2919,6408173,Herskin Store,0,0,5322,4.905082,2962,86.0,Hà Nội,166,3029,https://shopee.vn/herskin,2026-03-19 13:29:46
